#clade_name	NCBI_tax_id	additional_species	DM055	LG050	DM093	LG049	LG006	LG043	DM004	DM057	DM025	LG023	LG030	DM001	DM063	DM074	LG052	LG045	DM065	DM008	LG025	DM046	LG038	DM019	LG046	DM007	DM087	DM051	LG026	LG034	DM002	LG001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019		1.92443	0.4323	0.17384	0.19294	0.15951	2.10549	1.04853	0.377	2.79614	0.58282	1.3102	1.3024	0.15908	1.55017	0.90453	0.0682	0.18597	0.37874		0.3789	0.49133	0.57192	0.79105	0.02154	0.32932	0.29549	1.30242	0.40401	1.04883	1.01679
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491		1.55294			1.14862	0.1488		0.21898	1.20869	2.93718	5.78696		0.84283	0.52037	4.53517	1.74602			2.16415				0.55566		2.92455					8.6753	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|		0.79384	7.64019	6.31599	1.20273	1.81238	42.91336	3.67068	0.46274	2.16182	0.44861	3.157	5.82904	1.92222	1.0588	0.36419	1.18735	1.37571	5.55936	1.44434	3.05158	10.35333	0.8204	20.41004	0.30253	2.2283	5.10137	15.40294	3.85564	1.67301	2.0673
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979		0.37503	1.17725	0.93786	1.62156	1.31554	2.27878	0.92377	0.40498	2.16374	0.86758	4.42607	2.02031	2.16734	3.01848	0.79889	1.22574	2.06749	4.06038	0.96871	2.15011	0.8434	0.56872	4.60177	1.04609	1.27142	0.30344	12.64756	1.63865	1.96019	0.68698
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107		0.37047	0.1604	0.49981	0.41191	0.83493	0.46291	0.24416	0.81339	0.29047	0.26712	0.11969	0.37892	0.22761	0.33957	0.3505	0.47942	0.55386	0.86504	0.56664	0.22627	0.16184	0.14332	0.58976	0.38226	2.41702	0.3236	0.18535	0.20918	1.35057	0.04482
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712		0.35621	0.0041				0.08097	0.03972		0.30833		0.11593	0.02888	0.01175	0.04197	0.12396		0.03688	0.01029	0.01006			0.35953	0.07351	0.06986		0.02276		0.07046	0.02776	0.03793
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525		0.35264	1.32145	1.60422	0.51854	0.60468	1.47554	3.49393	0.10161	0.48136	0.01143	0.34566	0.82184	0.45532	0.63232	0.29284	0.75647	0.26799	0.73848	0.09895	0.40196	3.54584	0.0839	0.7765	0.09064	4.79504	1.02218	1.54997	0.87291	0.19195	0.79842
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300		0.27866	0.00752	0.08507	0.02036	0.00536	0.28453	0.23553	0.03699	0.34488	0.058	0.07258	0.0216	0.0237	0.28764	0.11371	0.01364	0.0524	0.44239	0.00618	0.04963	0.01066	0.17311	0.00952	0.88436	0.16449	0.08375	0.22331	0.31635	0.09436	0.05659
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953		0.19379	0.16094	0.15881			0.07816		0.18307		0.02112	0.14058		0.03375		0.35527	0.05531	0.63392	0.11454		0.00149	0.13601		0.03216		3.05748	0.01311	0.03012	0.39569		0.02321
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930		0.10874	0.31682	0.19475	1.53373	1.13957	1.07358	0.79673	0.46328	0.52761	1.30134	1.60724	0.01599	0.32404	3.73841	0.36822	0.23296	5.79792	0.92375	0.25987	1.21423	0.91352	0.65724	3.44588	1.75829	0.75178	1.3324	2.73664		2.94224	1.25763
